algorithm,problem,dimension,run_id,best_fitness,fe,iterations,wall_time
DE,F12_Ackley_D10,10,8,20.961926512612912,100000,1999,1.9837
DE,F12_Ackley_D10,10,9,21.01932284458984,100000,1999,1.8256
DE,F12_Ackley_D10,10,10,20.908481993135535,100000,1999,1.9855
DE,F12_Ackley_D10,10,11,21.03650715134005,100000,1999,1.8402
DE,F12_Ackley_D10,10,12,21.211157340163055,100000,1999,1.8399
DE,F12_Ackley_D10,10,13,21.206111694360654,100000,1999,2.0309
DE,F12_Ackley_D10,10,14,21.23625383029766,100000,1999,1.8393
GA,F12_Ackley_D10,10,0,21.10367286380821,100034,2083,2.7261
GA,F12_Ackley_D10,10,1,21.049322631839058,100034,2083,2.6952
GA,F12_Ackley_D10,10,2,21.125887555699222,100034,2083,3.0243
GA,F12_Ackley_D10,10,3,21.314296597313085,100034,2083,2.6669
GA,F12_Ackley_D10,10,4,21.279582439437917,100034,2083,2.6498
GA,F12_Ackley_D10,10,5,21.06568266994561,100034,2083,2.5314
GA,F12_Ackley_D10,10,6,20.935942256437258,100034,2083,2.6309
GA,F12_Ackley_D10,10,7,21.15944399450218,100034,2083,2.6618
GA,F12_Ackley_D10,10,8,21.01094877370753,100034,2083,2.5412
